name,category_code,city,country_code,latitude,longitude
99designs,design,Collingwood,AUS,-37.8026587,144.9868546
Netsize,mobile,West Chatswood,AUS,-33.867139,151.207114
CPM Braxis,consulting,SÃ£o Paulo,BRA,-23.5910421,-46.6872018
Adknowledge,advertising,Toronto,CAN,43.6474554,-79.3953743
Novariant,other,Santiago,CHL,-29.9596413,-71.2559557
Adknowledge,advertising,Shanghai,CHN,31.222622,121.4770384
Koolanoo Group,web,Beijing,CHN,39.905556,116.395833
Koolanoo Group,web,Beijing,CHN,39.905556,116.395833
NetRetail Holding,finance,Amsterdam,CZE,52.3435239,4.866857
XING,network_hosting,Hamburg,DEU,53.555554,9.98793
Adknowledge,advertising,Munich,DEU,48.1635092,11.5582609
Troux Technologies,enterprise,MÃ¼nchen,DEU,48.142778,11.505366
plista,advertising,Berlin,DEU,52.5283614,13.4124563
Open-Xchange,software,Olpe,DEU,51.029415,7.850863
Open-Xchange,software,Nuremberg,DEU,49.4605351,11.0823953
99designs,design,Berlin,DEU,52.4986199,13.4469031
babbel,education,Berlin,DEU,52.4897,13.38861
Trustpilot,web,Copenhagen V,DNK,55.6739617,12.5605372
Fon,mobile,Madrid,ESP,40.530724,-3.632687
Tuenti Technologies,social,Madrid,ESP,40.4158236,-3.696277
Netsize,mobile,Alcobendas,ESP,40.4167413,-3.7032498
Deezer,music,Paris,FRA,48.8780596,2.3283853
Adknowledge,advertising,Paris,FRA,48.8506065,2.3797825
Netsize,mobile,Meudon  (Paris),FRA,48.8943115,2.288319
Solairedirect,cleantech,Paris,FRA,48.8745951,2.3210737
2 Minutes,games_video,Paris,FRA,48.8502056,2.3698033
Bomgar,software,Paris,FRA,48.8752305,2.2983373
Viadeo,social,Paris,FRA,48.8747064,2.3304161
Exalead,search,Paris,FRA,48.86931,2.324782
Bestofmedia Group,news,Suresnes,FRA,48.8704095,2.2246339
Tribold,software,London,GBR,51.5209358,-0.1424094
Autoquake,ecommerce,London,GBR,51.543337,-0.172364
ControlCircle,network_hosting,London,GBR,51.5003204,-0.0178689
Vovici,enterprise,Kingston Upon Thames,GBR,51.4140631,-0.3016459
spigit,software,London,GBR,51.5170385,-0.1394759
DemandTec,software,London,GBR,51.5069206,-0.1249337
Clarabridge,enterprise,London,GBR,51.4918451,-0.2617681
Black Duck Software,software,Manchester,GBR,53.524419,-2.258714
Realtime Worlds,games_video,Dundee,GBR,56.461428,-2.968111
7digital,music,London,GBR,51.5254,-0.083726
Sift,software,Bristol,GBR,51.451168,-2.5869272
WANdisco,software,Sheffield,GBR,53.3800107,-1.4629301
PowerReviews,social,London,GBR,51.527099,-0.104408
Netsize,mobile,London,GBR,51.5001524,-0.1262362
Troux Technologies,enterprise,Slough,GBR,51.519369,-0.631817
Adknowledge,advertising,"Covent Garden, London",GBR,51.5114403,-0.1229212
Netsize,mobile,Budapest,HUN,47.4984056,19.0407578
Facebook,social,Dublin,IRL,53.344104,-6.267494
Netsize,mobile,Rome,ITA,41.8954656,12.4823243
Avantium Technologies,cleantech,Amsterdam,NLD,52.3965603,4.8516964
Black Duck Software,software,Amsterdam,NLD,52.340609,4.870312
Netsize,mobile,Amsterdam,NLD,52.3738007,4.8909347
Netsize,mobile,Älvsjö,SWE,59.3327881,18.0644881
PacketFront,software,Stockholm,SWE,59.332788,18.064488
Lyft,software,San Francisco,USA,37.7899027,-122.4007846
Intacct,enterprise,San Jose,USA,37.332948,-121.89053
NetSpend,other,Austin,USA,30.2667,-97.7428
